Tissue,Permittivity_10Hz,Conductivity_10Hz,Permittivity_1kHz,Conductivity_1kHz,Permittivity_2_45GHz,Conductivity_2_45GHz
Pancreas,230000,0.22,35000,0.23,57.2,1.85
Liver,180000,0.051,28000,0.062,43.0,1.69
Stomach Wall,420000,0.45,51000,0.48,62.2,2.21
Intestinal Wall,390000,0.51,48000,0.53,59.4,2.14
Spleen,350000,0.18,42000,0.21,52.5,2.25
Blood,4100,0.7,3200,0.7,58.3,2.54
Blood Plasma,120,1.45,110,1.45,70.1,2.92
Heart (Myocardium),4500000,0.113,120000,0.142,54.8,2.0
Lymph,4100,0.62,3100,0.62,57.9,2.41
Brain (Grey Matter),3200000,0.045,95000,0.075,48.9,1.81
Brain (White Matter),1100000,0.021,31000,0.038,36.2,1.22
Cerebrospinal Fluid,105,2.0,105,,66.2,3.45
Eye Lens,48000,0.32,9800,0.33,44.7,1.75
Muscle (Skeletal),38000000,0.201,450000,0.321,52.7,1.77
Skin (Wet),280000,0.002,32000,0.021,41.4,1.59
Bone (Cortical),4200,0.02,680,0.02,11.4,0.38
Fat (Adipose),25000,0.012,1100,0.024,10.8,0.27
Kidney,360000,0.095,48000,0.134,52.8,2.43
Bladder Wall,180000,0.21,22000,0.22,18.0,0.69
Lungs (Inflated),120000,0.032,19000,0.041,20.5,0.78
